District,Organic Tons,MGP tons,Paper Tons,Refuse Tons,Diversion rate (%),Total Population,Median Age,Population/acre,Hispanic,White non-Hispanic,Black non-hispanic,Asian non-hispanic,Others non-hispanic,Non-hispanic of 2 or more races,Family household(%),Non-family household (%),Housing units,Median household income (dollars),Mean household income (dollars),Paper bins,MGP bins,Capture rates paper (2019),Capture rates MGP (2019),Capture rates total (2019),Number of Commercial/Office buildings,Number of Industrial/Manufacturing buildings,Number of Recreation/Outdoors,Organic Tons per person,Paper Tons per person,Refuse Tons per person,MGP Tons per person,Paper bins per person,MGP bins per person
MN12,1.5,18.2,16.7,196.3,15.6,180206,38.5,100.1,65.1,21.2,7.3,3.2,0.9,2.3,55.9,44.1,74722,63779,93729,35,35,44.5,58.041666666666664,50.458333333333336,33.0,2.0,10.0,8.323807198428465e-06,9.267172014250358e-05,0.0010893089020343385,0.00010099552734093203,0.00019422216796333085,0.00019422216796333085
QN01,6.8,29.1,29.5,267.2,19.7,196803,35.7,49.3,25.4,46.0,7.8,15.2,1.5,4.0,49.6,50.4,90547,86830,114987,15,15,48.775,77.02499999999999,59.06666666666667,1.0,866.0,10.0,3.4552318816278205e-05,0.0001498960889823834,0.00135770288054552,0.0001478635996402494,7.621835033002545e-05,7.621835033002545e-05
QN02,2.9,14.7,18.3,184.7,16.3,137718,36.0,45.7,29.5,28.5,2.7,35.4,1.1,2.8,55.1,44.9,60696,89480,124942,17,17,49.20833333333334,74.21666666666667,58.28333333333333,234.0,977.0,28.0,2.105752334480605e-05,0.00013288023352067268,0.001341146400615751,0.00010673985971332723,0.0001234406540902424,0.0001234406540902424
QN03,3.3,19.6,13.9,151.8,19.5,178855,37.5,95.0,63.4,9.9,4.9,19.2,1.2,1.5,71.1,28.9,58912,73666,95857,5,5,30.766666666666666,63.23333333333333,42.62500000000001,251.0,22.0,73.0,1.8450700287942744e-05,7.77165860613346e-05,0.0008487322132453664,0.00010958597746778117,2.795560649688295e-05,2.795560649688295e-05
QN04,6.4,16.0,17.5,127.3,23.9,181686,36.9,119.6,51.8,5.2,4.2,36.5,0.9,1.3,73.5,26.5,58065,66148,84504,41,41,33.80833333333333,64.00833333333334,44.80833333333334,85.0,73.0,30.0,3.522560901775591e-05,9.632002465792631e-05,0.0007006593793688011,8.806402254438977e-05,0.00022566405776999879,0.00022566405776999879
QN05,10.9,34.2,19.7,309.1,17.3,179294,38.2,35.8,36.0,48.1,2.2,10.8,0.9,2.0,66.3,33.7,69946,86884,107846,16,16,46.0,87.19166666666666,61.06666666666666,85.0,757.0,13.0,6.079400314567136e-05,0.00010987540018070878,0.0017239840708556896,0.00019074815665889546,8.923890370006804e-05,8.923890370006804e-05
QN06,5.1,30.7,19.6,230.9,19.4,119706,43.0,66.8,16.4,43.9,2.9,31.0,1.4,4.5,58.8,41.2,56120,96263,130353,20,20,29.683333333333337,72.44166666666666,40.24166666666667,398.0,2.0,118.0,4.260438073279535e-05,0.0001637344828162331,0.0019288924531769502,0.0002564616644111406,0.00016707600287370724,0.00016707600287370724
QN07,2.4,9.5,11.7,159.8,12.9,270930,44.2,35.9,18.1,20.6,2.0,57.4,0.6,1.3,70.4,29.6,103229,69719,97819,15,15,47.19166666666667,67.04166666666666,54.41666666666668,94.0,528.0,58.0,8.858376702469273e-06,4.31845864245377e-05,0.0005898202487727458,3.5064407780607534e-05,5.5364854390432956e-05,5.5364854390432956e-05
QN08,6.0,24.5,28.1,208.2,21.9,157986,38.8,34.0,18.3,27.9,11.7,36.7,2.0,3.3,68.3,31.7,58218,84228,107460,56,56,,,,232.0,11.0,0.0,3.797804868785842e-05,0.0001778638613548036,0.001317838289468687,0.00015507703214208854,0.00035446178775334523,0.00035446178775334523
QN09,7.8,15.6,17.4,130.5,23.8,151872,37.6,61.1,41.8,15.1,6.7,25.1,6.4,4.8,72.0,28.0,50621,84590,110502,14,14,40.025,78.18333333333334,53.949999999999996,28.0,216.0,1.0,5.13590391908976e-05,0.0001145701643489254,0.0008592762326169405,0.0001027180783817952,9.218289085545723e-05,9.218289085545723e-05
QN10,1.4,19.3,14.3,192.0,15.4,130378,40.8,33.2,23.5,19.8,13.8,21.8,12.5,8.6,74.6,25.4,43508,94659,116334,12,12,35.825,86.14999999999999,52.583333333333336,160.0,67.0,0.0,1.073800794612588e-05,0.00010968108116400006,0.0014726410897544064,0.00014803110954302108,9.20400681096504e-05,9.20400681096504e-05
QN11,1.0,18.7,13.3,169.7,16.3,122366,45.3,20.6,11.9,34.4,2.2,49.0,0.6,1.9,71.1,28.9,47439,102023,125990,15,15,52.458333333333336,84.825,63.225,139.0,15.0,47.0,8.17220469738326e-06,0.00010869032247519736,0.001386823137145939,0.00015282022784106697,0.0001225830704607489,0.0001225830704607489
QN12,6.9,25.3,23.3,188.3,22.8,257759,38.6,42.4,18.0,1.8,53.6,15.6,5.2,5.7,71.9,28.1,84633,74870,97591,30,31,32.23333333333333,68.7,47.88333333333335,59.0,410.0,34.0,2.6769191376440784e-05,9.039451580740149e-05,0.0007305273530701159,9.815370171361622e-05,0.0001163877885932208,0.00012026738154632816
QN13,2.4,14.1,15.1,114.1,21.7,199648,42.3,24.7,12.5,9.1,51.6,18.5,3.5,4.7,74.9,25.1,66410,105810,127123,33,33,32.449999999999996,90.20833333333333,51.65833333333333,197.0,189.0,15.0,1.2021157236736656e-05,7.563311428113479e-05,0.0005715058502965218,7.062429876582785e-05,0.00016529091200512903,0.00016529091200512903
QN14,8.1,19.1,16.8,160.2,21.6,124161,37.7,28.6,23.0,32.4,36.1,2.9,1.9,3.7,64.3,35.7,47966,69583,99833,31,31,31.75833333333333,44.64166666666666,36.475,135.0,90.0,12.0,6.523787662792665e-05,0.00013530818856162565,0.0012902602266412157,0.00015383252390041962,0.00024967582413157113,0.00024967582413157113
SI01,1.8,24.2,22.8,239.4,17.0,189663,37.4,21.7,31.1,33.0,21.1,10.9,1.1,2.9,68.4,31.6,69066,85858,108896,67,67,39.88333333333333,77.68333333333334,52.46666666666667,88.0,1.0,110.0,9.49051739137312e-06,0.00012021322029072618,0.001262238813052625,0.0001275947338173497,0.000353258147345555,0.000353258147345555
SI02,2.1,18.6,20.0,184.3,18.1,330713,42.1,10.5,14.3,61.1,3.5,18.4,0.7,2.0,72.0,28.0,120798,93990,125075,58,58,44.125,75.73333333333332,54.63333333333333,0.0,497.0,16.0,6.3499166951405e-06,6.047539709657619e-05,0.0005572807842449495,5.624211929981586e-05,0.00017537865158007095,0.00017537865158007095
SI03,2.9,24.4,27.1,223.3,19.6,164488,42.8,12.1,10.7,78.4,1.1,7.4,0.5,1.8,73.4,26.6,62645,112707,134899,16,16,46.65,82.61666666666666,58.633333333333326,4.0,186.0,77.0,1.7630465444287728e-05,0.00016475365984144742,0.0013575458392101553,0.00014833908856573124,9.72715334857254e-05,9.72715334857254e-05
